[ 0000 ] M Titrant Add: 0.000000  |  V Titrant Add: 0.000000  |  A Moles: 0.000200  |  [A]: 0.100000  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.002000  |  pH: 1.000000
[ 0001 ] M Titrant Add: 0.000006  |  V Titrant Add: 0.000059  |  A Moles: 0.000194  |  [A]: 0.094286  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.002059  |  pH: 1.025554
[ 0002 ] M Titrant Add: 0.000012  |  V Titrant Add: 0.000118  |  A Moles: 0.000188  |  [A]: 0.088889  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.002118  |  pH: 1.051153
[ 0003 ] M Titrant Add: 0.000018  |  V Titrant Add: 0.000176  |  A Moles: 0.000182  |  [A]: 0.083784  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.002176  |  pH: 1.076840
[ 0004 ] M Titrant Add: 0.000024  |  V Titrant Add: 0.000235  |  A Moles: 0.000176  |  [A]: 0.078947  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.002235  |  pH: 1.102662
[ 0005 ] M Titrant Add: 0.000029  |  V Titrant Add: 0.000294  |  A Moles: 0.000171  |  [A]: 0.074359  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.002294  |  pH: 1.128667
[ 0006 ] M Titrant Add: 0.000035  |  V Titrant Add: 0.000353  |  A Moles: 0.000165  |  [A]: 0.070000  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.002353  |  pH: 1.154902
[ 0007 ] M Titrant Add: 0.000041  |  V Titrant Add: 0.000412  |  A Moles: 0.000159  |  [A]: 0.065854  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.002412  |  pH: 1.181420
[ 0008 ] M Titrant Add: 0.000047  |  V Titrant Add: 0.000471  |  A Moles: 0.000153  |  [A]: 0.061905  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.002471  |  pH: 1.208276
[ 0009 ] M Titrant Add: 0.000053  |  V Titrant Add: 0.000529  |  A Moles: 0.000147  |  [A]: 0.058140  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.002529  |  pH: 1.235528
[ 0010 ] M Titrant Add: 0.000059  |  V Titrant Add: 0.000588  |  A Moles: 0.000141  |  [A]: 0.054545  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.002588  |  pH: 1.263241
[ 0011 ] M Titrant Add: 0.000065  |  V Titrant Add: 0.000647  |  A Moles: 0.000135  |  [A]: 0.051111  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.002647  |  pH: 1.291485
[ 0012 ] M Titrant Add: 0.000071  |  V Titrant Add: 0.000706  |  A Moles: 0.000129  |  [A]: 0.047826  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.002706  |  pH: 1.320335
[ 0013 ] M Titrant Add: 0.000076  |  V Titrant Add: 0.000765  |  A Moles: 0.000124  |  [A]: 0.044681  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.002765  |  pH: 1.349879
[ 0014 ] M Titrant Add: 0.000082  |  V Titrant Add: 0.000824  |  A Moles: 0.000118  |  [A]: 0.041667  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.002824  |  pH: 1.380211
[ 0015 ] M Titrant Add: 0.000088  |  V Titrant Add: 0.000882  |  A Moles: 0.000112  |  [A]: 0.038776  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.002882  |  pH: 1.411442
[ 0016 ] M Titrant Add: 0.000094  |  V Titrant Add: 0.000941  |  A Moles: 0.000106  |  [A]: 0.036000  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.002941  |  pH: 1.443697
[ 0017 ] M Titrant Add: 0.000100  |  V Titrant Add: 0.001000  |  A Moles: 0.000100  |  [A]: 0.033333  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.003000  |  pH: 1.477121
[ 0018 ] M Titrant Add: 0.000106  |  V Titrant Add: 0.001059  |  A Moles: 0.000094  |  [A]: 0.030769  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.003059  |  pH: 1.511883
[ 0019 ] M Titrant Add: 0.000112  |  V Titrant Add: 0.001118  |  A Moles: 0.000088  |  [A]: 0.028302  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.003118  |  pH: 1.548185
[ 0020 ] M Titrant Add: 0.000118  |  V Titrant Add: 0.001176  |  A Moles: 0.000082  |  [A]: 0.025926  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.003176  |  pH: 1.586266
[ 0021 ] M Titrant Add: 0.000124  |  V Titrant Add: 0.001235  |  A Moles: 0.000076  |  [A]: 0.023636  |  B Moles: 0.000000  |  [B]: 0.000000  |  T Volume: 0.003235  |  pH: 1.626419
