Moles Titrant Added,Volume Titrant Added,Moles Acid,[A],Moles Base,[B],Total Volume,pH
0.000000,0.000000,0.000200,0.100000,0.000000,0.000000,0.002000,1.000000,
0.000000,0.000004,0.000200,0.099601,0.000000,0.000000,0.002004,1.001737,
0.000001,0.000008,0.000199,0.099203,0.000000,0.000000,0.002008,1.003474,
0.000001,0.000012,0.000199,0.098807,0.000000,0.000000,0.002012,1.005212,
0.000002,0.000016,0.000198,0.098413,0.000000,0.000000,0.002016,1.006949,
0.000002,0.000020,0.000198,0.098020,0.000000,0.000000,0.002020,1.008686,
0.000002,0.000024,0.000198,0.097628,0.000000,0.000000,0.002024,1.010424,
0.000003,0.000028,0.000197,0.097239,0.000000,0.000000,0.002028,1.012161,
0.000003,0.000032,0.000197,0.096850,0.000000,0.000000,0.002032,1.013899,
0.000004,0.000036,0.000196,0.096464,0.000000,0.000000,0.002036,1.015636,
0.000004,0.000040,0.000196,0.096078,0.000000,0.000000,0.002040,1.017374,
0.000004,0.000044,0.000196,0.095695,0.000000,0.000000,0.002044,1.019112,
0.000005,0.000048,0.000195,0.095312,0.000000,0.000000,0.002048,1.020850,
0.000005,0.000052,0.000195,0.094932,0.000000,0.000000,0.002052,1.022588,
0.000006,0.000056,0.000194,0.094553,0.000000,0.000000,0.002056,1.024327,
0.000006,0.000060,0.000194,0.094175,0.000000,0.000000,0.002060,1.026065,
0.000006,0.000064,0.000194,0.093798,0.000000,0.000000,0.002064,1.027804,
0.000007,0.000068,0.000193,0.093424,0.000000,0.000000,0.002068,1.029543,
0.000007,0.000072,0.000193,0.093050,0.000000,0.000000,0.002072,1.031283,
0.000008,0.000076,0.000192,0.092678,0.000000,0.000000,0.002076,1.033022,
0.000008,0.000080,0.000192,0.092308,0.000000,0.000000,0.002080,1.034762,
0.000008,0.000084,0.000192,0.091939,0.000000,0.000000,0.002084,1.036502,
0.000009,0.000088,0.000191,0.091571,0.000000,0.000000,0.002088,1.038243,
0.000009,0.000092,0.000191,0.091205,0.000000,0.000000,0.002092,1.039983,
0.000010,0.000096,0.000190,0.090840,0.000000,0.000000,0.002096,1.041724,
0.000010,0.000100,0.000190,0.090476,0.000000,0.000000,0.002100,1.043466,
0.000010,0.000104,0.000190,0.090114,0.000000,0.000000,0.002104,1.045207,
0.000011,0.000108,0.000189,0.089753,0.000000,0.000000,0.002108,1.046949,
0.000011,0.000112,0.000189,0.089394,0.000000,0.000000,0.002112,1.048692,
0.000012,0.000116,0.000188,0.089036,0.000000,0.000000,0.002116,1.050435,
0.000012,0.000120,0.000188,0.088679,0.000000,0.000000,0.002120,1.052178,
0.000012,0.000124,0.000188,0.088324,0.000000,0.000000,0.002124,1.053922,
0.000013,0.000128,0.000187,0.087970,0.000000,0.000000,0.002128,1.055666,
0.000013,0.000132,0.000187,0.087617,0.000000,0.000000,0.002132,1.057410,
0.000014,0.000136,0.000186,0.087266,0.000000,0.000000,0.002136,1.059155,
0.000014,0.000140,0.000186,0.086916,0.000000,0.000000,0.002140,1.060901,
0.000014,0.000144,0.000186,0.086567,0.000000,0.000000,0.002144,1.062647,
0.000015,0.000148,0.000185,0.086220,0.000000,0.000000,0.002148,1.064393,
0.000015,0.000152,0.000185,0.085874,0.000000,0.000000,0.002152,1.066140,
0.000016,0.000156,0.000184,0.085529,0.000000,0.000000,0.002156,1.067888,
0.000016,0.000160,0.000184,0.085185,0.000000,0.000000,0.002160,1.069636,
0.000016,0.000164,0.000184,0.084843,0.000000,0.000000,0.002164,1.071385,
